"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_00001"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Leptospira"	"Leptospira alexanderi"	"ref_mOTU_v25_00001"
"ref_mOTU_v25_00002"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Leptospira"	"Leptospira weilii [Leptospira sp. P2653/Leptospira weilii]"	"ref_mOTU_v25_00002"
"ref_mOTU_v25_00004"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. [Chryseobacterium sp. OV705/Chryseobacterium sp. YR221]"	"ref_mOTU_v25_00004"
"ref_mOTU_v25_00005"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium gallinarum [Chryseobacterium gallinarum/Chryseobacterium sp. P1-3]"	"ref_mOTU_v25_00005"
"ref_mOTU_v25_00006"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium indologenes [Chryseobacterium sp. UNC8MFCol/Chryseobacterium indologenes]"	"ref_mOTU_v25_00006"
"ref_mOTU_v25_00007"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium artocarpi/ureilyticum"	"ref_mOTU_v25_00007"
"ref_mOTU_v25_00008"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium jejuense [Chryseobacterium jejuense/Chryseobacterium sp. StRB126]"	"ref_mOTU_v25_00008"
"ref_mOTU_v25_00009"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. G972"	"ref_mOTU_v25_00009"
"ref_mOTU_v25_00010"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium contaminans"	"ref_mOTU_v25_00010"
"ref_mOTU_v25_00011"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium indologenes"	"ref_mOTU_v25_00011"
"ref_mOTU_v25_00012"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium arthrosphaerae"	"ref_mOTU_v25_00012"
"ref_mOTU_v25_00013"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. [Chryseobacterium sp. YR485/Chryseobacterium sp. YR480]"	"ref_mOTU_v25_00013"
"ref_mOTU_v25_00014"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. YR459"	"ref_mOTU_v25_00014"
"ref_mOTU_v25_00015"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium cucumeris/indologenes [Chryseobacterium sp. CF365/Chryseobacterium cucumeris/Chryseobacterium indologenes]"	"ref_mOTU_v25_00015"
"ref_mOTU_v25_00016"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. YR477"	"ref_mOTU_v25_00016"
"ref_mOTU_v25_00017"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. RU33C"	"ref_mOTU_v25_00017"
"ref_mOTU_v25_00018"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium gleum"	"ref_mOTU_v25_00018"
"ref_mOTU_v25_00019"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium culicis"	"ref_mOTU_v25_00019"
"ref_mOTU_v25_00020"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium joostei"	"ref_mOTU_v25_00020"
"ref_mOTU_v25_00021"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Komagataeibacter"	"Komagataeibacter xylinus/hansenii"	"ref_mOTU_v25_00021"
"ref_mOTU_v25_00022"	"Bacteria"	"Proteobacteria"	"Proteobacteria class [Gammaproteobacteria/Alphaproteobacteria]"	"Proteobacteria order [Sphingomonadales/Enterobacterales]"	"Proteobacteria fam. [Sphingomonadaceae/Enterobacteriaceae]"	"Proteobacteria gen. [Sphingomonas/Enterobacter]"	"Proteobacteria sp. [Sphingomonas sp. S17/Sphingomonas paucimobilis/Enterobacter cloacae]"	"ref_mOTU_v25_00022"
"ref_mOTU_v25_00023"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas sanguinis"	"ref_mOTU_v25_00023"
"ref_mOTU_v25_00024"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas parapaucimobilis [Sphingomonas sp. Sph1(2015)/Sphingomonas parapaucimobilis]"	"ref_mOTU_v25_00024"
"ref_mOTU_v25_00025"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"Sphingomonas yabuuchiae [Sphingomonas sp. LK11/Sphingomonas yabuuchiae/Sphingomonas sp. Leaf257]"	"ref_mOTU_v25_00025"
"ref_mOTU_v25_00026"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio natriegens [Vibrio sp. EJY3/Vibrio natriegens]"	"ref_mOTU_v25_00026"
"ref_mOTU_v25_00027"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sp. [Vibrio sp. JCM 19052/Vibrio sp. JCM 19064/Vibrio hyugaensis/Vibrio sp. L85/Vibrio rotiferianus/Vibrio harveyi/Vibrio campbellii/Vibrio owensii/Vibrio jasicida/Vibrio sp. HENC-03]"	"ref_mOTU_v25_00027"
"ref_mOTU_v25_00028"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio parahaemolyticus [Vibrio sp. S457-15/Vibrio sp. S512-13/Vibrio sp. SALL6/Vibrio sp. OULL4/Vibrio parahaemolyticus]"	"ref_mOTU_v25_00028"
"ref_mOTU_v25_00029"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sp. [Vibrio sp. 712i1/Vibrio sp. JCM 18904/Vibrio sp. JCM 18905/Vibrio sp. OY15/Vibrio sp. JCM 19053/Vibrio sp. JCM 19061/Vibrio sp. JCM 19063/Vibrio antiquarius/Vibrio diabolicus/Vibrio alginolyticus/Vibrio parahaemolyticus]"	"ref_mOTU_v25_00029"
"ref_mOTU_v25_00030"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio mytili"	"ref_mOTU_v25_00030"
"ref_mOTU_v25_00031"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio azureus"	"ref_mOTU_v25_00031"
"ref_mOTU_v25_00032"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio nereis"	"ref_mOTU_v25_00032"
"ref_mOTU_v25_00033"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio hepatarius"	"ref_mOTU_v25_00033"
"ref_mOTU_v25_00034"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio coralliilyticus [Vibrio sp. B183/Vibrio coralliilyticus]"	"ref_mOTU_v25_00034"
"ref_mOTU_v25_00035"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio neptunius"	"ref_mOTU_v25_00035"
"ref_mOTU_v25_00036"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	"Vibrio sp. [Vibrio sinaloensis/Vibrio caribbeanicus/Vibrio variabilis]"	"ref_mOTU_v25_00036"
